it=(   100/ 10000), ETA=00:00:21, Time/Step=   0.0021[s] , MAX = (  0.00E+00 0.00E+00 )
it=(  1800/ 10000), ETA=00:00:15, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  1900/ 10000), ETA=00:00:15, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  2000/ 10000), ETA=00:00:15, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  2100/ 10000), ETA=00:00:14, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  2200/ 10000), ETA=00:00:14, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  2300/ 10000), ETA=00:00:14, Time/Step=   0.0019[s] , MAX = (  3.86E-04 8.38E-04 )
it=(  2400/ 10000), ETA=00:00:14, Time/Step=   0.0019[s] , MAX = (  4.33E-04 8.38E-04 )
it=(  2500/ 10000), ETA=00:00:14, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  2600/ 10000), ETA=00:00:13, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  2700/ 10000), ETA=00:00:13, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  2800/ 10000), ETA=00:00:13, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  2900/ 10000), ETA=00:00:13, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3000/ 10000), ETA=00:00:13, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3100/ 10000), ETA=00:00:13, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3200/ 10000), ETA=00:00:12, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3300/ 10000), ETA=00:00:12, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3400/ 10000), ETA=00:00:12, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3500/ 10000), ETA=00:00:12, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3600/ 10000), ETA=00:00:12, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3700/ 10000), ETA=00:00:11, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3800/ 10000), ETA=00:00:11, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  3900/ 10000), ETA=00:00:11, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4000/ 10000), ETA=00:00:11, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4100/ 10000), ETA=00:00:11, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4200/ 10000), ETA=00:00:10, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4300/ 10000), ETA=00:00:10, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4400/ 10000), ETA=00:00:10, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4500/ 10000), ETA=00:00:10, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4600/ 10000), ETA=00:00:10, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4700/ 10000), ETA=00:00:09, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4800/ 10000), ETA=00:00:09, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  4900/ 10000), ETA=00:00:09, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5000/ 10000), ETA=00:00:09, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5100/ 10000), ETA=00:00:09, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5200/ 10000), ETA=00:00:09, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5300/ 10000), ETA=00:00:08, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5400/ 10000), ETA=00:00:08, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5500/ 10000), ETA=00:00:08, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5600/ 10000), ETA=00:00:08, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5700/ 10000), ETA=00:00:08, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5800/ 10000), ETA=00:00:07, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  5900/ 10000), ETA=00:00:07, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6000/ 10000), ETA=00:00:07, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6100/ 10000), ETA=00:00:07, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6200/ 10000), ETA=00:00:07, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6300/ 10000), ETA=00:00:06, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6400/ 10000), ETA=00:00:06, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6500/ 10000), ETA=00:00:06, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6600/ 10000), ETA=00:00:06, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6700/ 10000), ETA=00:00:06, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6800/ 10000), ETA=00:00:06, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  6900/ 10000), ETA=00:00:05, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7000/ 10000), ETA=00:00:05, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7100/ 10000), ETA=00:00:05, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7200/ 10000), ETA=00:00:05, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7300/ 10000), ETA=00:00:05, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7400/ 10000), ETA=00:00:04, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7500/ 10000), ETA=00:00:04, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7600/ 10000), ETA=00:00:04, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7700/ 10000), ETA=00:00:04, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7800/ 10000), ETA=00:00:04, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  7900/ 10000), ETA=00:00:03, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8000/ 10000), ETA=00:00:03, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8100/ 10000), ETA=00:00:03, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8200/ 10000), ETA=00:00:03, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8300/ 10000), ETA=00:00:03, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8400/ 10000), ETA=00:00:03, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8500/ 10000), ETA=00:00:02, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8600/ 10000), ETA=00:00:02, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8700/ 10000), ETA=00:00:02, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8800/ 10000), ETA=00:00:02, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  8900/ 10000), ETA=00:00:02, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9000/ 10000), ETA=00:00:01, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9100/ 10000), ETA=00:00:01, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9200/ 10000), ETA=00:00:01, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9300/ 10000), ETA=00:00:01, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9400/ 10000), ETA=00:00:01, Time/Step=   0.0020[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9500/ 10000), ETA=00:00:00, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9600/ 10000), ETA=00:00:00, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9700/ 10000), ETA=00:00:00, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9800/ 10000), ETA=00:00:00, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=(  9900/ 10000), ETA=00:00:00, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
it=( 10000/ 10000), ETA=00:00:00, Time/Step=   0.0019[s] , MAX = (  4.57E-04 8.38E-04 )
